user_id,skill_id,step,correct,true_mastery,difficulty,time_on_task_s,hints_requested,attempt_num,has_misconception
0,15,0,0,0.3854,0.2282,24.4,0,1,1
0,20,1,0,0.3204,0.3289,63.6,0,1,1
0,10,2,1,0.2171,0.1613,77.3,0,1,0
0,10,3,0,0.286,0.1613,63.6,0,2,0
0,10,4,0,0.2735,0.1613,67.7,0,3,0
0,20,5,0,0.3069,0.3289,91.8,0,2,1
0,15,6,0,0.3671,0.2282,30.0,0,2,1
0,0,8,1,0.5119,0.244,88.9,0,1,1
0,15,9,0,0.3482,0.2282,33.1,0,3,1
0,5,10,1,0.6654,0.4996,59.8,0,1,0
0,15,11,0,0.3288,0.2282,70.4,0,4,1
0,10,12,0,0.2607,0.1613,53.1,0,4,0
0,0,13,0,0.5614,0.244,137.7,0,2,1
0,0,14,0,0.5525,0.244,45.2,1,3,1
0,15,15,1,0.3088,0.2282,108.4,0,5,1
0,20,16,0,0.2932,0.3289,116.2,1,3,1
0,5,17,0,0.7014,0.4996,65.8,0,2,0
0,20,18,0,0.2792,0.3289,27.4,0,4,1
0,10,19,0,0.2476,0.1613,65.5,0,5,0
0,0,20,0,0.5434,0.244,158.0,1,4,1
0,5,21,0,0.695,0.4996,140.3,1,3,0
0,10,22,1,0.2344,0.1613,141.9,0,6,0
0,0,23,0,0.5342,0.244,39.4,1,5,1
0,15,25,0,0.4117,0.2282,84.4,0,6,1
0,10,26,1,0.3018,0.1613,62.9,0,7,0
0,15,27,0,0.3942,0.2282,48.9,0,7,1
0,0,28,0,0.5247,0.244,132.5,0,6,1
0,10,29,1,0.3633,0.1613,107.1,0,8,0
0,10,30,0,0.4194,0.1613,150.0,0,9,0
0,0,31,0,0.5151,0.244,66.1,1,7,1
0,0,32,0,0.5053,0.244,38.3,1,8,1
0,10,33,0,0.4092,0.1613,11.3,1,10,0
0,10,34,0,0.3987,0.1613,67.6,1,11,0
0,10,35,0,0.3882,0.1613,58.1,0,12,0
0,20,36,1,0.2649,0.3289,134.3,0,5,1
0,20,37,0,0.3377,0.3289,115.6,0,6,1
0,0,38,1,0.4952,0.244,90.5,0,9,1
0,5,39,1,0.6884,0.4996,111.5,0,4,0
0,15,40,0,0.3762,0.2282,49.3,0,8,1
0,15,41,0,0.3576,0.2282,174.0,0,9,1
0,5,42,1,0.722,0.4996,19.1,0,5,0
0,0,43,1,0.5464,0.244,99.6,0,10,1
0,10,44,0,0.3774,0.1613,53.4,1,13,0
0,15,45,0,0.3385,0.2282,48.7,0,10,1
0,15,46,0,0.3188,0.2282,57.1,1,11,1
0,10,47,0,0.3664,0.1613,67.0,1,14,0
0,20,48,0,0.3246,0.3289,118.9,0,7,1
0,20,49,0,0.3112,0.3289,93.1,0,8,1
0,10,50,1,0.3553,0.1613,13.3,0,15,0
0,15,51,0,0.2985,0.2282,39.3,1,12,1
0,15,52,0,0.2776,0.2282,134.8,0,13,1
0,5,53,1,0.7519,0.4996,55.9,0,6,0
0,15,54,0,0.2561,0.2282,115.8,0,14,1
0,10,55,0,0.412,0.1613,83.8,1,16,0
0,15,56,0,0.234,0.2282,64.4,1,15,1
0,15,57,0,0.2112,0.2282,123.3,1,16,1
0,5,58,1,0.7787,0.4996,76.1,0,7,0
0,10,59,0,0.4017,0.1613,15.1,0,17,0
0,0,60,1,0.5923,0.244,103.0,0,11,1
0,10,61,0,0.3911,0.1613,103.4,1,18,0
0,10,62,0,0.3804,0.1613,61.5,0,19,0
0,10,63,0,0.3695,0.1613,79.1,0,20,0
0,0,64,0,0.6336,0.244,90.0,1,12,1
0,20,65,0,0.2976,0.3289,86.3,0,9,1
0,10,66,0,0.3584,0.1613,46.5,1,21,0
0,5,67,1,0.8025,0.4996,70.0,0,8,0
0,10,68,1,0.3471,0.1613,191.6,0,22,0
0,15,69,0,0.1877,0.2282,70.0,0,17,1
0,20,70,0,0.2837,0.3289,90.6,0,10,1
0,20,71,0,0.2695,0.3289,133.7,0,11,1
0,20,72,0,0.255,0.3289,49.6,1,12,1
0,10,73,0,0.4046,0.1613,49.0,0,23,0
0,0,74,1,0.6262,0.244,86.7,0,13,1
0,5,75,1,0.8238,0.4996,100.7,0,9,0
0,0,76,0,0.6641,0.244,89.9,0,14,1
0,20,77,0,0.2403,0.3289,114.1,0,13,1
0,0,78,0,0.6573,0.244,95.4,0,15,1
0,10,79,0,0.3941,0.1613,131.4,0,24,0
0,0,80,0,0.6503,0.244,52.6,1,16,1
0,20,81,0,0.2252,0.3289,117.3,0,14,1
0,0,82,1,0.6432,0.244,106.9,0,17,1
0,15,83,0,0.1635,0.2282,68.7,1,18,1
0,0,84,0,0.6794,0.244,38.6,0,18,1
0,15,85,0,0.1386,0.2282,65.6,1,19,1
0,20,86,0,0.2099,0.3289,150.7,0,15,1
0,20,87,0,0.1943,0.3289,121.3,0,16,1
0,0,88,0,0.6729,0.244,19.3,1,19,1
0,10,89,0,0.3834,0.1613,120.3,1,25,0
0,10,90,0,0.3726,0.1613,86.0,0,26,0
0,20,91,0,0.1783,0.3289,53.1,1,17,1
0,0,92,1,0.6663,0.244,78.5,0,20,1
0,5,93,1,0.8428,0.4996,82.9,0,10,0
0,0,94,0,0.7001,0.244,27.2,1,21,1
0,6,95,1,0.4436,0.304,29.3,0,1,0
0,0,96,0,0.694,0.244,85.3,1,22,1
0,0,97,0,0.6878,0.244,10.0,0,23,1
0,20,98,0,0.1621,0.3289,55.6,0,18,1
0,15,99,0,0.1129,0.2282,125.9,1,20,1
0,6,100,1,0.5087,0.304,102.4,0,2,0
0,0,101,1,0.6815,0.244,69.6,0,24,1
0,0,102,0,0.7137,0.244,82.0,0,25,1
0,10,103,0,0.3615,0.1613,132.6,0,27,0
0,10,104,0,0.3503,0.1613,132.2,1,28,0
0,15,105,0,0.0865,0.2282,41.9,0,21,1
0,15,106,0,0.0593,0.2282,115.6,1,22,1
0,0,107,1,0.7079,0.244,65.4,0,26,1
0,10,108,0,0.3388,0.1613,107.9,1,29,0
0,10,109,0,0.3272,0.1613,93.1,1,30,0
0,0,110,0,0.7375,0.244,72.7,0,27,1
