user_id,skill_id,step,correct,true_mastery,difficulty,time_on_task_s,hints_requested,attempt_num,has_misconception
0,5,0,0,0.0117,0.4996,19.7,0,1,0
0,5,2,0,0.0046,0.4996,76.9,1,2,0
0,5,3,0,0.0,0.4996,113.3,0,3,0
0,5,4,0,0.0,0.4996,159.8,0,4,0
0,10,5,0,0.4016,0.1613,62.1,0,1,0
0,10,7,0,0.3816,0.1613,92.8,0,2,0
0,10,9,0,0.3609,0.1613,87.3,0,3,0
0,0,10,0,0.1525,0.244,115.5,0,1,0
0,0,11,0,0.1277,0.244,63.2,0,2,0
0,5,13,0,0.0,0.4996,10.0,0,5,0
0,20,14,0,0.3816,0.3289,10.0,0,1,0
0,15,18,0,0.1032,0.2282,67.2,0,1,0
0,15,19,0,0.0942,0.2282,100.8,1,2,0
0,20,20,1,0.3722,0.3289,105.3,0,2,0
0,10,21,0,0.3396,0.1613,149.3,0,4,0
0,10,22,0,0.3175,0.1613,123.8,1,5,0
0,0,23,0,0.1022,0.244,112.2,0,3,0
0,15,24,1,0.085,0.2282,154.2,0,3,0
0,10,25,0,0.2947,0.1613,25.9,1,6,0
0,0,26,0,0.0759,0.244,107.6,0,4,0
0,10,27,0,0.2711,0.1613,92.2,1,7,0
0,0,28,1,0.0488,0.244,95.5,0,5,0
0,20,30,1,0.4199,0.3289,82.8,0,3,0
0,0,31,1,0.188,0.244,74.3,0,6,0
0,20,32,1,0.464,0.3289,123.2,0,4,0
0,0,33,0,0.3068,0.244,30.7,0,7,0
0,20,35,0,0.5047,0.3289,133.6,0,5,0
0,20,39,0,0.4972,0.3289,93.7,0,6,0
0,0,41,0,0.2866,0.244,122.1,0,8,0
0,0,42,1,0.2657,0.244,48.4,0,9,0
0,10,44,1,0.2467,0.1613,65.8,0,8,0
0,15,46,0,0.1311,0.2282,107.1,0,4,0
0,10,47,0,0.3726,0.1613,76.3,0,9,0
0,0,48,0,0.3731,0.244,134.6,1,10,0
0,15,49,0,0.1224,0.2282,173.1,1,5,0
0,10,50,0,0.3517,0.1613,56.2,0,10,0
0,20,51,0,0.4896,0.3289,26.4,0,7,0
0,10,52,1,0.33,0.1613,78.3,0,11,0
0,0,53,0,0.3548,0.244,103.9,0,11,0
0,5,54,0,0.0,0.4996,114.8,0,6,0
0,0,55,0,0.3359,0.244,193.9,0,12,0
0,10,56,0,0.442,0.1613,113.2,0,12,0
0,5,57,0,0.0,0.4996,55.9,0,7,0
0,15,60,1,0.1135,0.2282,78.6,0,6,0
0,10,61,1,0.4233,0.1613,16.7,0,13,0
0,0,63,0,0.3165,0.244,144.6,1,13,0
0,15,64,0,0.1582,0.2282,68.3,0,7,0
0,0,65,0,0.2965,0.244,108.6,0,14,0
0,20,66,1,0.4818,0.3289,121.6,0,8,0
0,15,67,1,0.1497,0.2282,62.5,0,8,0
0,20,68,0,0.5212,0.3289,54.5,0,9,0
0,20,70,1,0.5139,0.3289,148.2,0,10,0
0,0,71,0,0.2759,0.244,75.5,1,15,0
0,10,72,1,0.5197,0.1613,27.4,0,14,0
0,0,73,0,0.2547,0.244,10.0,1,16,0
0,10,75,0,0.6,0.1613,82.8,0,15,0
0,15,76,0,0.1926,0.2282,118.3,1,9,0
0,0,77,0,0.2329,0.244,101.9,0,17,0
0,10,78,0,0.5866,0.1613,48.7,1,16,0
0,20,79,0,0.5509,0.3289,54.4,1,11,0
0,15,80,1,0.1844,0.2282,126.0,0,10,0
0,15,83,0,0.2255,0.2282,97.5,0,11,0
0,0,85,0,0.2104,0.244,31.8,0,18,0
0,15,86,0,0.2177,0.2282,104.5,0,12,0
0,15,87,0,0.2098,0.2282,118.6,0,13,0
0,15,88,0,0.2019,0.2282,99.4,0,14,0
0,0,89,0,0.1873,0.244,23.9,1,19,0
0,5,90,0,0.0,0.4996,122.5,0,8,0
0,5,91,0,0.0,0.4996,141.0,0,9,0
0,10,92,0,0.5728,0.1613,120.5,1,17,0
0,20,93,1,0.544,0.3289,99.4,0,12,0
0,0,94,0,0.1635,0.244,57.7,0,20,0
0,5,95,0,0.0,0.4996,148.0,0,10,0
0,0,97,0,0.139,0.244,108.8,0,21,0
0,15,98,0,0.1938,0.2282,10.0,1,15,0
0,15,99,0,0.1857,0.2282,12.5,1,16,0
0,10,100,1,0.5585,0.1613,113.2,0,18,0
0,20,101,0,0.5787,0.3289,118.0,0,13,0
0,15,102,1,0.1775,0.2282,114.6,0,17,0
0,10,103,0,0.6323,0.1613,20.8,1,19,0
0,5,104,0,0.0,0.4996,156.7,1,11,0
0,10,107,0,0.62,0.1613,138.5,0,20,0
0,20,108,0,0.5723,0.3289,76.3,0,14,0
